video_id,title,published_date,description,publish_date,year,title_length
uNZwUdfU43Q,Complete Full Stack Web Development Preparation : MERN Stack + 6 Major Projects | New Delta 8.0 🚀,2025-11-14 15:56:02+00:00,Save time & study only what's needed for Placements New Delta 8.0 Link : https://www.apnacollege.in/course/delta-8 Early ...,2025-11-14,2025,97
sMUWg_OlbbY,"How he got placed in Japan as Software Engineer ? Learnt Japanese with DSA, Development",2025-11-11 15:21:44+00:00,Save time & study only what's needed for Placements New Sigma 10 : https://www.apnacollege.in/course/sigma-10 New ...,2025-11-11,2025,87
NX8F3QTXKc4,CISCO - 24LPA | Cisco Ideathon #results #placement #apnacollege,2025-10-11 14:07:21+00:00,,2025-10-11,2025,63
EA5_PP9d-OQ,How to study for College Exams ? Just do this for best GPA!,2025-09-04 16:30:33+00:00,Want to study for Tech Placements/Internships from us : Our Latest Placement Batches : https://linktr.ee/apnacollege.in Share your ...,2025-09-04,2025,59
u3y1MqX4egE,How this student got selected for Google Summer of Code (GSoC) for Jenkins ? 3rd year BCA student,2025-08-23 14:12:26+00:00,Want to study for Tech Placements/Internships from us : Our Latest Placement Batches : https://linktr.ee/apnacollege.in Share your ...,2025-08-23,2025,97
hp5ib30dq7w,How to start Coding in 1st Year? for College Students | Tech Internship/Placement 2025-26,2025-08-02 17:24:51+00:00,Want to study for Tech Placements/Internships from us : Our Latest Placement Batches : https://linktr.ee/apnacollege.in Web ...,2025-08-02,2025,89
Q_mSKYgWtio,How he grabbed OFF-Campus Internship at Goldman Sachs ? Key Interview learnings with Shradha ma&#39;am,2025-06-06 16:51:28+00:00,Save time & study only what's needed for Placements New Delta 7.0 Link : https://www.apnacollege.in/course/delta-7 (Your ...,2025-06-06,2025,102
J11Qme3vAio,What are the best Projects for Placements &amp; Internships that will get you Hired?,2025-06-03 17:47:42+00:00,Save time & study only what's needed for Placements New Sigma 8.0 Link : https://www.apnacollege.in/course/sigma-8 (Your ...,2025-06-03,2025,84
4I5ixtczxi8,How this 3rd year student got selected in Google ? Core branch student,2025-05-29 16:00:52+00:00,Save time & study only what's needed for Placements New Sigma 8.0 Link : https://www.apnacollege.in/course/sigma-8 (Your ...,2025-05-29,2025,70
eKJrXBCRuNQ,Binary Trees in Data Structures | Tree Traversal | DSA Placement Series,2025-03-30 13:49:03+00:00,This is Lecture 83 of DSA Placement Series Complete Playlist Link ...,2025-03-30,2025,71
YzxnxCM7q5A,How this Core branch student with just 6.5 CGPA got 27 lakhs Tech Placement at JusPay?,2025-02-10 17:12:57+00:00,Want to study for Tech Placements/Internships from us : Our Latest Placement Batches : https://linktr.ee/apnacollege.in Share your ...,2025-02-10,2025,86
LVtnc10xz-o,Shradha Khapra Ma&#39;am invited their selected students for Interviews🪴,2025-02-10 14:54:01+00:00,,2025-02-10,2025,72
c5hkSx15ipM,Google Intern : Importance of Projects,2025-01-20 09:33:16+00:00,,2025-01-20,2025,38
pc8WLGsHois,Google Interview process. Shivam is our Alpha student who cracked Google.,2025-01-11 14:43:49+00:00,,2025-01-11,2025,73
sYxN2x2aV3c,Naman is our student who cracked Goldman Sachs. Complete Interview is available on Apna College,2025-01-10 05:29:34+00:00,,2025-01-10,2025,95
vscu3i1_yxs,How this student got Amazon via Off-Campus Hackathon | from Tier 2/3 | Interview lessons with Ma&#39;am,2025-01-08 15:56:07+00:00,Want to study for Tech Placements/Internships from us : Our Latest Placement Batches : https://linktr.ee/apnacollege.in Share your ...,2025-01-08,2025,103
nkF5n0bOzTA,Complete Placement Preparation : Full Stack Web Development + Java DSA + Aptitude | New Sigma 6.0 🚀,2024-12-21 15:28:28+00:00,Save time & study only what's needed for Placements New Sigma 6.0 Link : https://www.apnacollege.in/course/sigma-6 ...,2024-12-21,2024,99
SBQfXK7q5K4,One Major update &amp; reaching 1000M views,2024-12-16 16:21:35+00:00,"All future lectures of DSA Series, i.e lecture 51 onwards will be uploaded on Shradha Khapra youtube channel. Lecture 51 of ...",2024-12-16,2024,43
pNzljlzDCiI,Recursion Part 3 : Backtracking in Detail | Print all Subsets | Subsets II,2024-11-27 14:38:58+00:00,Lecture 43 : Recursion (Part 3) We will learn about more about recursion : -Backtracking -Print all Subsets -Subset Problem ...,2024-11-27,2024,74
KDH4mhFVvHw,Subarray Sum Equals K | Brute-Better-Optimal approach,2024-11-19 15:44:14+00:00,Lecture 40 : DSA Placement Series Topic : Prefix Sum & Hashing Problem : Leetcode 560 Company wise DSA Sheet Link ...,2024-11-19,2024,53
4WjtQjPQGIs,Web Development Complete RoadMap for 2025 | from Basics to Advanced,2024-11-17 16:26:04+00:00,To start your journey you can study from the following resources❤️ 1. HTML One Shot ...,2024-11-17,2024,67
6DLSDdYUB-k,Interview lessons &amp; learnings - by Shradha Ma’am,2024-11-08 14:48:47+00:00,,2024-11-08,2024,52
LEFFjgt5i6w,Search a 2D Matrix - Variation I &amp; II | 2D Arrays - Part 2 | DSA Series by Shradha Ma&#39;am,2024-11-04 15:45:16+00:00,This is Lecture 35 of DSA Placement Series. Want to study for Tech Placements/Internships from us : Our Latest Placement ...,2024-11-04,2024,96
lBL8327gq8I,2D Arrays in C++ | Part 1 | DSA Series by Shradha Ma&#39;am,2024-11-03 14:09:10+00:00,This is Lecture 34 of DSA Placement Series. Want to study for Tech Placements/Internships from us : Our Latest Placement ...,2024-11-03,2024,59
Y4KdgqV1IqA,Maths for DSA - One Shot | Euclid&#39;s Algorithm | Sieve of Eratosthenes | Modular Arithmetics,2024-10-30 17:04:53+00:00,"This is Lecture 33 of DSA Placement Series, in this we will learn about important mathematical concepts for DSA. Want to study for ...",2024-10-30,2024,95
hr-y4suNq6c,3rd year student cracks Samsung Internship &amp; PPO | Interview Lessons with Shradha Ma&#39;am,2024-10-26 16:03:59+00:00,Want to study for Tech Placements/Internships from us : Our Latest Placement Batches : https://linktr.ee/apnacollege.in Share your ...,2024-10-26,2024,95
P9Y4x6QfgP8,2nd year student cracks Paypal | Off-Campus selection | + PPI,2024-10-19 16:05:23+00:00,You can start your journey with us here : New Sigma 5.0 Placement Batch: https://www.apnacollege.in/course/sigma-5 Link for ...,2024-10-19,2024,61
MOSjYaVymcU,Strings &amp; Character Arrays in C++  -  Part 1 | DSA Placement Series,2024-10-18 16:02:49+00:00,Lecture 28 of DSA Placement Series Want to study for Tech Placements/Internships from us : Our Latest Placement Batches ...,2024-10-18,2024,71
okhdtEk1iKk,C++ STL Complete Tutorial | Standard Template Library - One Shot,2024-10-15 15:33:41+00:00,Lecture 27 of DSA Series Want to study for Tech Placements/Internships from us : Our Latest Placement Batches ...,2024-10-15,2024,64
-1cLK6PaLsQ,Merge Sorted Arrays Problem and Next Permutation Problem | DSA Series,2024-10-14 16:26:55+00:00,Lecture 26 (Arrays Part 8) of DSA Placement Series Company wise DSA Sheet Link ...,2024-10-14,2024,69
1jCFUv-Xlqo,"Sorting Algorithms | Bubble Sort, Selection Sort &amp; Insertion Sort | DSA Series by Shradha Ma&#39;am",2024-10-09 16:16:20+00:00,Lecture 24 of DSA Placement Series Company wise DSA Sheet Link ...,2024-10-09,2024,103
_xqIp2rj8bo,Majority Element | Brute- Better-Best Approach | Moore&#39;s Voting Algorithm | &amp; Pair Sum,2024-09-16 16:05:59+00:00,Lecture 11 of DSA Series : (Array Part 4) - Majority Element | Brute- Better-Best Approach | Moore's Voting Algorithm - Pair Sum ...,2024-09-16,2024,94
8wmn7k1TTcI,Array Data Structure - Part1 | DSA Series by Shradha Khapra Ma&#39;am | C++,2024-09-11 15:45:45+00:00,Share your progress on Twitter : https://x.com/ShradhaKhapra_ DSA Series full playlist ...,2024-09-11,2024,75
xpy5NXiBFvA,Binary Number System | DSA Series by Shradha Khapra Ma&#39;am | C++,2024-09-08 15:44:01+00:00,Share your progress on Twitter : https://x.com/ShradhaKhapra_ DSA Series full playlist ...,2024-09-08,2024,67
rga_q2N7vU8,Lecture 4: Patterns | DSA Series by Shradha Khapra Ma&#39;am | C++,2024-09-05 15:40:03+00:00,Share your DSA progress on LinkedIn : https://bit.ly/apnacollege-Ln #50Day DSA Challenge #No. of Problems solved (eg: first 50 ...,2024-09-05,2024,66
